; Output of running w3stringsx on the example2_input directory.
; Script will resursively search for .xml and .ws files to parse for string keys.
; This mod used the ibt_ prefix to identify its strings, but there are some cases like `panel_Mods` that doesn't adhere to it.
; That's where we can use regex to our advantage.
; So to parse the directory we execute: python w3stringsx.py example2_input/ --search "(ibt_|Mods)"

;idspace=????
;section=menu
panel_Mods|MISSING_LOCALISATION
panel_ibt_name|MISSING_LOCALISATION
preset_Mods_ibt_name|MISSING_LOCALISATION
preset_value_ibt_default|MISSING_LOCALISATION
option_ibt_hair_short_tied|MISSING_LOCALISATION
preset_value_ibt_hairstyle_shaved_with_ponytail|MISSING_LOCALISATION
preset_value_ibt_hairstyle_mohawk_with_ponytail|MISSING_LOCALISATION
option_ibt_hair_short_untied|MISSING_LOCALISATION
preset_value_ibt_hairstyle_short_loose|MISSING_LOCALISATION
preset_value_ibt_hairstyle_elven_rebel|MISSING_LOCALISATION
;section=bundle
item_desc_ibt_hairtie|MISSING_LOCALISATION
item_desc_ibt_scissors|MISSING_LOCALISATION
item_desc_ibt_tonic_beard|MISSING_LOCALISATION
item_desc_ibt_tonic_hair|MISSING_LOCALISATION
item_name_ibt_hairtie|MISSING_LOCALISATION
item_name_ibt_scissors|MISSING_LOCALISATION
item_name_ibt_tonic_beard|MISSING_LOCALISATION
item_name_ibt_tonic_hair|MISSING_LOCALISATION
item_name_recipe_ibt_tonic_beard|MISSING_LOCALISATION
;section=scripts
ibt_notif_drank_tonic_beard_failure|MISSING_LOCALISATION
ibt_notif_drank_tonic_beard_success|MISSING_LOCALISATION
ibt_notif_drank_tonic_hair_failure|MISSING_LOCALISATION
ibt_notif_drank_tonic_hair_success|MISSING_LOCALISATION
ibt_notif_used_scissors_beard_failure|MISSING_LOCALISATION
ibt_notif_used_scissors_beard_success|MISSING_LOCALISATION
ibt_notif_used_scissors_hair_failure|MISSING_LOCALISATION
ibt_notif_used_scissors_hair_success|MISSING_LOCALISATION
item_desc_ibt_scissors_mode_beard|MISSING_LOCALISATION
item_desc_ibt_scissors_mode_hair|MISSING_LOCALISATION
item_desc_ibt_scissors_mode_preamble|MISSING_LOCALISATION
